,Acquisition_Date,file_name,month,year,season,day_of_year,season_wfd
52,2020-01-05 10:08:33,S3A_CHL_IT_20200105T100833_L1.tif,1,2020,winter,5,Winter
53,2020-01-17 09:57:20,S3A_CHL_IT_20200117T095720_L1.tif,1,2020,winter,17,Winter
54,2020-01-21 09:53:36,S3A_CHL_IT_20200121T095336_L1.tif,1,2020,winter,21,Winter
55,2020-01-22 09:27:25,S3A_CHL_IT_20200122T092725_L1.tif,1,2020,winter,22,Winter
56,2020-02-03 09:16:12,S3A_CHL_IT_20200203T091612_L1.tif,2,2020,winter,34,Winter
57,2020-02-05 10:04:50,S3A_CHL_IT_20200205T100450_L1.tif,2,2020,winter,36,Winter
58,2020-02-14 09:31:10,S3A_CHL_IT_20200214T093110_L1.tif,2,2020,winter,45,Winter
59,2020-02-18 09:27:25,S3A_CHL_IT_20200218T092725_L1.tif,2,2020,winter,49,Winter
60,2020-02-24 10:12:18,S3A_CHL_IT_20200224T101218_L1.tif,2,2020,winter,55,Winter
61,2020-02-28 10:08:33,S3A_CHL_IT_20200228T100833_L1.tif,2,2020,winter,59,Winter
62,2020-03-04 09:38:37,S3A_CHL_IT_20200304T093837_L1.tif,3,2020,spring,64,Winter
63,2020-03-07 10:01:04,S3A_CHL_IT_20200307T100104_L1.tif,3,2020,spring,67,Winter
64,2020-03-08 09:34:53,S3A_CHL_IT_20200308T093453_L1.tif,3,2020,spring,68,Winter
65,2020-03-11 09:57:19,S3A_CHL_IT_20200311T095719_L1.tif,3,2020,spring,71,Winter
66,2020-03-16 09:27:25,S3A_CHL_IT_20200316T092725_L1.tif,3,2020,spring,76,Winter
67,2020-03-19 09:49:52,S3A_CHL_IT_20200319T094952_L1.tif,3,2020,spring,79,Winter
68,2020-03-24 09:19:58,S3A_CHL_IT_20200324T091958_L1.tif,3,2020,spring,84,None
69,2020-04-03 10:01:08,S3A_CHL_IT_20200403T100108_L1.tif,4,2020,spring,94,Spring
70,2020-04-07 09:57:25,S3A_CHL_IT_20200407T095725_L1.tif,4,2020,spring,98,Spring
71,2020-04-08 09:31:14,S3A_CHL_IT_20200408T093114_L1.tif,4,2020,spring,99,Spring
72,2020-04-11 09:53:41,S3A_CHL_IT_20200411T095341_L1.tif,4,2020,spring,102,Spring
73,2020-04-12 09:27:30,S3A_CHL_IT_20200412T092730_L1.tif,4,2020,spring,103,Spring
74,2020-04-22 10:08:40,S3A_CHL_IT_20200422T100840_L1.tif,4,2020,spring,113,Spring
75,2020-04-23 09:42:29,S3A_CHL_IT_20200423T094229_L1.tif,4,2020,spring,114,Spring
76,2020-05-04 09:57:28,S3A_CHL_IT_20200504T095728_L1.tif,5,2020,spring,125,Spring
77,2020-05-12 09:49:59,S3A_CHL_IT_20200512T094959_L1.tif,5,2020,spring,133,Spring
78,2020-05-20 09:42:30,S3A_CHL_IT_20200520T094230_L1.tif,5,2020,spring,141,Spring-summer transition
79,2020-05-24 09:38:46,S3A_CHL_IT_20200524T093846_L1.tif,5,2020,spring,145,Spring-summer transition
80,2020-05-27 10:01:12,S3A_CHL_IT_20200527T100112_L1.tif,5,2020,spring,148,Spring-summer transition
81,2020-06-19 10:04:55,S3A_CHL_IT_20200619T100455_L1.tif,6,2020,summer,171,None
82,2020-06-23 10:01:11,S3A_CHL_IT_20200623T100111_L1.tif,6,2020,summer,175,None
83,2020-07-05 09:49:58,S3A_CHL_IT_20200705T094958_L1.tif,7,2020,summer,187,Summer
283,2020-07-07 09:59:09,S3B_CHL_IT_20200707T095909_L1.tif,7,2020,summer,189,Summer
84,2020-07-09 09:46:14,S3A_CHL_IT_20200709T094614_L1.tif,7,2020,summer,191,Summer
85,2020-07-12 10:08:40,S3A_CHL_IT_20200712T100840_L1.tif,7,2020,summer,194,Summer
86,2020-07-16 10:04:56,S3A_CHL_IT_20200716T100456_L1.tif,7,2020,summer,198,Summer
87,2020-07-20 10:01:11,S3A_CHL_IT_20200720T100111_L1.tif,7,2020,summer,202,Summer
88,2020-07-25 09:31:16,S3A_CHL_IT_20200725T093116_L1.tif,7,2020,summer,207,Summer
89,2020-07-28 09:53:42,S3A_CHL_IT_20200728T095342_L1.tif,7,2020,summer,210,Summer
90,2020-08-01 09:49:57,S3A_CHL_IT_20200801T094957_L1.tif,8,2020,summer,214,Summer
91,2020-08-05 09:46:12,S3A_CHL_IT_20200805T094612_L1.tif,8,2020,summer,218,Summer
